agencyCode,agencyName,currentUII,investmentName,metricDescription,performanceMeasurementCategory,unitOfMeasure,reportingFrequency,agencyBaselineCapability,measurementCondition,target2022PY,target2023CY,dateOfLatestActualResult,latestActualResult,metTarget,isRetired,updatedTime
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The percentage of time that the high performance computing cluster is available to the scientific user community.","Strategic and Business Results",percentage,Monthly,0,"Over target",95,,,,,false,"2022-10-04 15:05:32"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The number of scientific papers published based on work performed at the NCCS.","Strategic and Business Results",number,Annual,40,"Over target",40,,,,,false,"2022-10-04 15:05:25"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","User Survey to get feedback on customer satisfaction with the NCCS.","Customer Satisfaction",number,Annual,0,"Over target",0,,,,,false,"2022-10-04 15:05:24"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The number of scientific research projects supported by the NCCS.","Strategic and Business Results",number,Semi-Annual,0,"Over target",170,,,,,false,"2022-10-04 15:05:26"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The cost of one core hour at the NCCS.","Financial Performance","dollar value",Annual,0.1,"Under target",0.1,,,,,false,"2022-10-04 15:05:25"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The percentage of time that the high performance computing cluster is available to the scientific user community.","Strategic and Business Results",0,Monthly,95,"Over target",95,,,,,false,"2022-10-04 15:05:27"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","HPC Cluster Availability","Strategic and Business Results",percentage,Monthly,0,"Over target",96,,,,,false,"2022-10-04 15:05:27"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The percentage of time that the high performance computing cluster is available to the scientific user community.","Strategic and Business Results",percentage,Monthly,0,"Over target",95,,,,,false,"2022-10-04 15:05:38"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The percentage of time that the high performance computing cluster is available to the scientific user community.","Strategic and Business Results",percentage,Monthly,0,"Over target",75,,,,,false,"2022-10-04 15:05:38"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Anomaly Density   Not Mature Software.  Software errors are reported via anomaly reports (ARs).  Anomaly density is calculated by dividing the number of outstanding ARs by the number of executable lines of software code (1 AR per 1 thousand lines of code = 1.000).","Customer Satisfaction",Percent,Monthly,0,"Over target",0,,,,,false,"2022-10-04 15:04:14"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Delivery of Flight P1 SRs.  Customers submit service requests via an SR.  The performing org reviews available resources and assigns a target date for completion.  This completion date is called Release to Operations (RTO).  This metric represents the percentage of highest priority SRs (Flight-related, Priority 1) completed on or before the RTO date.  It is calculated by dividing the number of SR deliveries meeting the specified date by the total number of SR deliveries made.","Customer Satisfaction",Percent,Quarterly,0,"Over target",0,,,,,false,"2022-10-04 15:04:13"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Determined by the sum total of combined minutes over a month of MSOC Un-scheduled service outages divided by the sum total of minutes over a month.  Outages are determined failures of MSOC systems or services.  It is not considered a loss of service if redundancy is lost.                                                  A.  There are 8 non-critical services within the MCC.  They are as follows:1. Telemetry (Ku-Band for ISS Mission Activities, S- and Ku Band for SIM and TEST Activities)2. Comm","Customer Satisfaction",Percentage,Monthly,0,"Over target",98,,,,,false,"2022-10-04 15:04:15"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Determined by the sum total of combined minutes over a month of MSOC Un-scheduled service outages divided by the sum total of minutes over a month.  Outages are determined failures of MSOC systems or services.  It is not considered a loss of service if redundancy is lost.                                                  A.  There are 8 non-critical services within the MCC.  They are as follows:1. Telemetry (Ku-Band for ISS Mission Activities, S- and Ku Band for SIM and TEST Activities)2. Comm","Customer Satisfaction",Percentage,Monthly,0,"Over target",98,,,,,false,"2022-10-04 15:04:15"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The number of scientific papers published based on work performed at the NCCS.","Strategic and Business Results",number,Annual,40,"Over target",70,,,,,false,"2022-10-04 15:05:35"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The number of scientific research projects supported by the NCCS.","Strategic and Business Results",number,Semi-Annual,0,"Over target",170,,,,,false,"2022-10-04 15:05:34"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Delivery of Non-Flight P1 SRs. Customers submit service requests via an SR. The performing org reviews available resources and assigns a target date for completion. This completion date is called Release to Operations (RTO). This metric represents the percentage of high priority SRs (Non-Flight related, Priority 1) completed within 7 days of the RTO date. It is calculated by dividing the number of SR deliveries meeting the specified date by the total number of SR deliveries made.","Customer Satisfaction",Percent,Quarterly,0,"Over target",0,,,,,false,"2022-10-04 15:04:07"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Design Review & Analysis.  Customers submit requests for modifications via Support Requests (SR).  SRs are assigned to systems engineers who complete design reviews and analyze initial cost impact.   Reviews and analysis of approved modifications should be completed within 8 weeks.  This metric represents how frequently this is achieved.  It is calculated by dividing the number of SRs meeting the criteria by the total number of SRs received.","Financial Performance",Percent,Quarterly,0,"Over target",0,,,,,false,"2022-10-04 15:04:05"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Availability of Non-Critical Functions.  This metric measures MCCS non-critical ground services availability.  This metric is calculated by dividing the amount of operational time by the total time during the period, less scheduled outages.","Customer Satisfaction",Percent,Monthly,0,"Over target",0,,,,,false,"2022-10-04 15:04:09"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Availability of Critical Functions.  This metric measures MCCS critical services availability.  This metric is calculated by dividing the amount of operational time by the total time during the period, less scheduled outages.","Strategic and Business Results",Percent,Quarterly,0,"Over target",0,,,,,false,"2022-10-04 15:04:08"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Anomaly Density   Mature Software.  Software errors are reported via anomaly reports (ARs).  Anomaly density is calculated by dividing the number of outstanding ARs by the number of executable lines of software code (1 AR per 5 thousand lines of code = .200).","Customer Satisfaction",Percent,Quarterly,0,"Under target",0,,,,,false,"2022-10-04 15:04:21"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Count of Problem Reports opened/closed/total outstanding by monthTarget for 2018 - Reduce BacklogTarget for 2019 - Reduce Backlog","Strategic and Business Results",Number,Monthly,0,"Over target",0,,,,,false,"2022-10-04 15:04:24"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","PRs/KSLOC(Problem Report) of mature code, defined as software more than two years old and where no more than half of the source lines of code have changed within the prior year","Strategic and Business Results",Number,Monthly,0,"Under target",0.06,,,,,false,"2022-10-04 15:04:26"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","PRs/KSLOC (problem report) of immature code (operational software that does not meet the definition for mature code)","Strategic and Business Results",Number,Monthly,0,"Under target",0.5,,,,,false,"2022-10-04 15:04:25"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Determined by the sum total of combined minutes over a month of MSOC Un-scheduled service outages divided by the sum total of minutes over a month.  Outages are determined failures of MSOC systems or services.  It is not considered a loss of service if redundancy is lost.                                                  A.  There are 8 non-critical services within the MCC.  They are as follows:1. Telemetry (Ku-Band for ISS Mission Activities, S- and Ku Band for SIM and TEST Activities)2. Comm","Customer Satisfaction",Percentage,Monthly,0,"Over target",98,,,,,false,"2022-10-04 15:04:27"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Determined by the sum total of combined minutes over a month of MSOC Un-scheduled service outages divided by the sum total of minutes over a month.  Outages are determined failures of MSOC systems or services.  It is not considered a loss of service if redundancy is lost.                                       1.  There are 4 critical services within the MCC:  Telemetry, Command, Voice and Tracking.                                                                       2.  The determined number o","Customer Satisfaction",Percentage,Monthly,0,"Over target",99.5,,,,,false,"2022-10-04 15:04:17"
